Date,ftse
30/12/2022,7451.74
29/12/2022,7512.72
28/12/2022,7497.19
23/12/2022,7473.01
22/12/2022,7469.28
21/12/2022,7497.32
20/12/2022,7370.62
19/12/2022,7361.31
16/12/2022,7332.12
15/12/2022,7426.17
14/12/2022,7495.93
13/12/2022,7502.89
12/12/2022,7445.97
9/12/2022,7476.63
8/12/2022,7472.17
7/12/2022,7489.19
6/12/2022,7521.39
5/12/2022,7567.54
2/12/2022,7556.23
1/12/2022,7558.49
30/11/2022,7573.05
29/11/2022,7512
28/11/2022,7474.02
25/11/2022,7486.67
24/11/2022,7466.6
23/11/2022,7465.24
22/11/2022,7452.84
21/11/2022,7376.85
18/11/2022,7385.52
17/11/2022,7346.54
16/11/2022,7351.19
15/11/2022,7369.44
14/11/2022,7385.17
11/11/2022,7318.04
10/11/2022,7375.34
9/11/2022,7296.25
8/11/2022,7306.14
7/11/2022,7299.99
4/11/2022,7334.84
3/11/2022,7188.63
2/11/2022,7144.14
1/11/2022,7186.16
31/10/2022,7094.53
28/10/2022,7047.67
27/10/2022,7073.69
26/10/2022,7056.07
25/10/2022,7013.48
24/10/2022,7013.99
21/10/2022,6969.73
20/10/2022,6943.91
19/10/2022,6924.99
18/10/2022,6936.74
17/10/2022,6920.24
14/10/2022,6858.79
13/10/2022,6850.27
12/10/2022,6826.15
11/10/2022,6885.23
10/10/2022,6959.31
7/10/2022,6991.09
6/10/2022,6997.27
5/10/2022,7052.62
4/10/2022,7086.46
3/10/2022,6908.76
30/09/2022,6893.81
29/09/2022,6881.59
28/09/2022,7005.39
27/09/2022,6984.59
26/09/2022,7020.95
23/09/2022,7018.6
22/09/2022,7159.52
21/09/2022,7237.64
20/09/2022,7192.66
16/09/2022,7236.68
15/09/2022,7282.07
14/09/2022,7277.3
13/09/2022,7385.86
12/9/2022,7473.03
9/9/2022,7351.07
8/9/2022,7262.06
7/9/2022,7237.83
6/9/2022,7300.44
5/9/2022,7287.43
2/9/2022,7281.19
1/9/2022,7148.5
31/08/2022,7284.15
30/08/2022,7361.63
26/08/2022,7427.31
25/08/2022,7479.74
24/08/2022,7471.51
23/08/2022,7488.11
22/08/2022,7533.79
19/08/2022,7550.37
18/08/2022,7541.85
17/08/2022,7515.75
16/08/2022,7536.06
15/08/2022,7509.15
12/8/2022,7500.89
11/8/2022,7465.91
10/8/2022,7507.11
9/8/2022,7488.15
8/8/2022,7482.37
5/8/2022,7439.74
4/8/2022,7448.06
3/8/2022,7445.68
2/8/2022,7409.11
1/8/2022,7413.42
29/07/2022,7423.43
28/07/2022,7345.25
27/07/2022,7348.23
26/07/2022,7306.28
25/07/2022,7306.3
22/07/2022,7276.37
21/07/2022,7270.51
20/07/2022,7264.31
19/07/2022,7296.28
18/07/2022,7223.24
15/07/2022,7159.01
14/07/2022,7039.81
13/07/2022,7156.37
12/7/2022,7209.86
11/7/2022,7196.59
8/7/2022,7196.24
7/7/2022,7189.08
6/7/2022,7107.77
5/7/2022,7025.47
4/7/2022,7232.65
1/7/2022,7168.65
30/06/2022,7169.28
29/06/2022,7312.32
28/06/2022,7323.41
27/06/2022,7258.32
24/06/2022,7208.81
23/06/2022,7020.45
22/06/2022,7089.22
21/06/2022,7152.05
20/06/2022,7121.81
17/06/2022,7016.25
16/06/2022,7044.98
15/06/2022,7273.41
14/06/2022,7187.46
13/06/2022,7205.81
10/6/2022,7317.52
9/6/2022,7476.21
8/6/2022,7593
7/6/2022,7598.93
6/6/2022,7608.22
1/6/2022,7532.95
31/05/2022,7607.66
30/05/2022,7600.06
27/05/2022,7585.46
26/05/2022,7564.92
25/05/2022,7522.75
24/05/2022,7484.35
23/05/2022,7513.44
20/05/2022,7389.98
19/05/2022,7302.74
18/05/2022,7438.09
17/05/2022,7518.35
16/05/2022,7464.8
13/05/2022,7418.15
12/5/2022,7233.34
11/5/2022,7347.66
10/5/2022,7243.22
9/5/2022,7216.58
6/5/2022,7387.94
5/5/2022,7503.27
4/5/2022,7493.45
3/5/2022,7561.33
29/04/2022,7544.55
28/04/2022,7509.19
27/04/2022,7425.61
26/04/2022,7386.19
25/04/2022,7380.54
22/04/2022,7521.68
21/04/2022,7627.95
20/04/2022,7629.22
19/04/2022,7601.28
14/04/2022,7616.38
13/04/2022,7580.8
12/4/2022,7576.66
11/4/2022,7618.31
8/4/2022,7669.56
7/4/2022,7551.81
6/4/2022,7587.7
5/4/2022,7613.72
4/4/2022,7558.92
1/4/2022,7537.9
31/03/2022,7515.68
30/03/2022,7578.75
29/03/2022,7537.25
28/03/2022,7473.14
25/03/2022,7483.35
24/03/2022,7467.38
23/03/2022,7460.63
22/03/2022,7476.72
