Date,spx
30/12/2022,3839.5
29/12/2022,3849.28
28/12/2022,3783.22
27/12/2022,3829.25
23/12/2022,3844.82
22/12/2022,3822.39
21/12/2022,3878.44
20/12/2022,3821.62
19/12/2022,3817.66
16/12/2022,3852.36
15/12/2022,3895.75
14/12/2022,3995.32
13/12/2022,4019.65
12/12/2022,3990.56
09/12/2022,3934.38
08/12/2022,3963.51
07/12/2022,3933.92
06/12/2022,3941.26
05/12/2022,3998.84
02/12/2022,4071.7
01/12/2022,4076.57
30/11/2022,4080.11
29/11/2022,3957.63
28/11/2022,3963.94
25/11/2022,4026.12
23/11/2022,4027.26
22/11/2022,4003.58
21/11/2022,3949.94
18/11/2022,3965.34
17/11/2022,3946.56
16/11/2022,3958.79
15/11/2022,3991.73
14/11/2022,3957.25
11/11/2022,3992.93
10/11/2022,3956.37
09/11/2022,3748.57
08/11/2022,3828.11
07/11/2022,3806.8
04/11/2022,3770.55
03/11/2022,3719.89
02/11/2022,3759.69
01/11/2022,3856.1
31/10/2022,3871.98
28/10/2022,3901.06
27/10/2022,3807.3
26/10/2022,3830.6
25/10/2022,3859.11
24/10/2022,3797.34
21/10/2022,3752.75
20/10/2022,3665.78
19/10/2022,3695.16
18/10/2022,3719.98
17/10/2022,3677.95
14/10/2022,3583.07
13/10/2022,3669.91
12/10/2022,3577.03
11/10/2022,3588.84
10/10/2022,3612.39
07/10/2022,3639.66
06/10/2022,3744.52
05/10/2022,3783.28
04/10/2022,3790.93
03/10/2022,3678.43
30/09/2022,3585.62
29/09/2022,3640.47
28/09/2022,3719.04
27/09/2022,3647.29
26/09/2022,3655.04
23/09/2022,3693.23
22/09/2022,3757.99
21/09/2022,3789.93
20/09/2022,3855.93
19/09/2022,3899.89
16/09/2022,3873.33
15/09/2022,3901.35
14/09/2022,3946.01
13/09/2022,3932.69
12/09/2022,4110.41
09/09/2022,4067.36
08/09/2022,4006.18
07/09/2022,3979.87
06/09/2022,3908.19
02/09/2022,3924.26
01/09/2022,3966.85
31/08/2022,3955
30/08/2022,3986.16
29/08/2022,4030.61
26/08/2022,4057.66
25/08/2022,4199.12
24/08/2022,4140.77
23/08/2022,4128.73
22/08/2022,4137.99
19/08/2022,4228.48
18/08/2022,4283.74
17/08/2022,4274.04
16/08/2022,4305.2
15/08/2022,4297.14
12/08/2022,4280.15
11/08/2022,4207.27
10/08/2022,4210.24
09/08/2022,4122.47
08/08/2022,4140.06
05/08/2022,4145.19
04/08/2022,4151.94
03/08/2022,4155.17
02/08/2022,4091.19
01/08/2022,4118.63
29/07/2022,4130.29
28/07/2022,4072.43
27/07/2022,4023.61
26/07/2022,3921.05
25/07/2022,3966.84
22/07/2022,3961.63
21/07/2022,3998.95
20/07/2022,3959.9
19/07/2022,3936.69
18/07/2022,3830.85
15/07/2022,3863.16
14/07/2022,3790.38
13/07/2022,3801.78
12/07/2022,3818.8
11/07/2022,3854.43
08/07/2022,3899.38
07/07/2022,3902.62
06/07/2022,3845.08
05/07/2022,3831.39
01/07/2022,3825.33
30/06/2022,3785.38
